"Year","Level","Tournament_Name","Tournament_ID","Type","Round","Winner","Loser","Score","Match1","Match2","Match3","Match4","Match5","Match1W","Match1L","Match2W","Match2L","Match3W","Match3L","Match4W","Match4L","Match5W","Match5L","Winner_Match_Won","Loser_Match_Won","Win_points_total","Lose_points_total","level_weight","round_weight"
"Nov-99","STAR5","China Open 1999",13056,"MD","Round 2","5038134, 5045377","5048211, 5048222","15-6 / 15-12","15-Jun"," 15-12","","","",15,6,15,12,,,,,,,2,0,30,18,7,4
"Jan-00","STAR5","Chinese Taipei Open 2000",14030,"MD","Quarter final","5045379, 5046232","5010654, 5050249","13-15 / 15-9 / 15-1","13-15 "," 15-9 "," 15-1","","",13,15,15,9,15,1,,,,,2,1,43,25,7,6
"Jan-00","STAR5","Chinese Taipei Open 2000",14030,"MD","Round 1","5001994, 5048647","5016968, 5053215","15-6 / 6-15 / 15-13","15-Jun"," 6-15 "," 15-13","","",15,6,6,15,15,13,,,,,2,1,36,34,7,4
"Mar-00","STAR4","All England Open 2000",13890,"MD","Round 3","5045379, 5046232","5001994, 5048647","15-13 / 15-12","15-13 "," 15-12","","","",15,13,15,12,,,,,,,2,0,30,25,6,4
"Mar-00","STAR4","All England Open 2000",13890,"MD","Round 3","5022359, 5046522","5016156, 5026798","17-14 / 15-13","17-14 "," 15-13","","","",17,14,15,13,,,,,,,2,0,32,27,6,4
"Mar-00","STAR4","All England Open 2000",13890,"MD","Round 2","5022387, 5049765","5045324, 5049941","15-7 / 7-15 / 17-15","15-Jul"," 7-15 "," 17-15","","",15,7,7,15,17,15,,,,,2,1,39,37,6,4
"Mar-00","STAR4","All England Open 2000",13890,"MD","Round 2","5036140, 5055372","5005176, 5012200","15-9 / 15-7","15-Sep"," 15-7","","","",15,9,15,7,,,,,,,2,0,30,16,6,4
"Mar-00","STAR4","All England Open 2000",13890,"MD","Round 2","5042983, 5046518","5005329, 5048322","15-10 / 12-15 / 15-2","15-Oct"," 12-15 "," 15-2","","",15,10,12,15,15,2,,,,,2,1,42,27,6,4
"Mar-00","STAR4","All England Open 2000",13890,"MD","Round 2","5016156, 5026798","5049904, 5052874","15-3 / 15-7","15-Mar"," 15-7","","","",15,3,15,7,,,,,,,2,0,30,10,6,4
"Mar-00","STAR4","Swiss Open 2000",12494,"MD","Quarter final","5037714, 5050083","5023863, 5050182","15-8 / 15-8","15-Aug"," 15-8","","","",15,8,15,8,,,,,,,2,0,30,16,6,6
