"Rank","PlayerID","PageRank","ScaledScore","Iterations"
1,"5040752, 5047406",0.0382783390122239,382.783390122239,855
2,"5016116, 5033202",0.0366761621344845,366.761621344845,855
3,"5041016, 5051595",0.034757226470726,347.57226470726,855
4,"5038134, 5045359",0.0291751913547326,291.751913547326,855
5,"5041519, 5055476",0.0264972430293001,264.972430293001,855
6,"5019250, 5051595",0.0241263046380405,241.263046380405,855
7,"5004093, 5013584",0.0227700959825549,227.700959825549,855
8,"5005599, 5043456",0.0224655821108994,224.655821108994,855
9,"5029761, 5034442",0.0213511863924194,213.511863924194,855
10,"5002037, 5010627",0.019336287779802,193.36287779802,855
11,"5019063, 5037433",0.0191827970908977,191.827970908977,855
12,"5038179, 5045870",0.0165011232360146,165.011232360146,855
13,"5026742, 5055367",0.0143327816512293,143.327816512293,855
14,"5020998, 5022387",0.0141318580039548,141.318580039548,855
15,"5011746, 5023879",0.0139173006699684,139.173006699684,855
16,"5044108, 5044112",0.0138195257481647,138.195257481647,855
17,"5036150, 5045116",0.0134108673523984,134.108673523984,855
18,"5042081, 5042097",0.0125767013549517,125.767013549517,855
19,"5043635, 5054279",0.0122790872735013,122.790872735013,855
20,"5042983, 5045349",0.0119556341119247,119.556341119247,855
21,"5007523, 5030311",0.0117382460733461,117.382460733461,855
22,"5042447, 5054040",0.0111776968367683,111.776968367683,855
23,"5010627, 5031400",0.010381492857222,103.81492857222,855
24,"5033321, 5038311",0.0101017601794646,101.017601794646,855
25,"5027001, 5033489",0.0100855875085557,100.855875085557,855
26,"5006605, 5016116",0.00960125342095413,96.0125342095413,855
27,"5004093, 5043767",0.00952785486373166,95.2785486373166,855
28,"5020708, 5034696",0.00928343252966396,92.8343252966396,855
29,"5033202, 5048475",0.00900597232646214,90.0597232646214,855
30,"5041352, 5043417",0.00899554608850627,89.9554608850627,855
31,"5014493, 5050083",0.00824042336049904,82.4042336049904,855
32,"5010217, 5045983",0.0082220366060217,82.220366060217,855
33,"5005599, 5043767",0.00714845462277223,71.4845462277223,855
34,"5005500, 5017900",0.00687370394647752,68.7370394647752,855
35,"5003128, 5004619",0.00685770433477918,68.5770433477918,855
36,"5007932, 5039095",0.00679341999191829,67.9341999191829,855
37,"5048629, 5049765",0.00670407899670143,67.0407899670143,855
38,"5010217, 5016952",0.00663876087435436,66.3876087435436,855
39,"5005176, 5045349",0.00585724063557489,58.5724063557489,855
40,"5039298, 5055602",0.00575036575443016,57.5036575443016,855
41,"5001745, 5034687",0.00559690671919091,55.9690671919091,855
42,"5041668, 5055093",0.0055840551587131,55.840551587131,855
43,"5044993, 5046308",0.00557279013892242,55.7279013892242,855
44,"5021791, 5055017",0.00541965276590348,54.1965276590348,855
45,"5029319, 5045496",0.00505881073880443,50.5881073880443,855
46,"5016793, 5047406",0.00469683744849874,46.9683744849874,855
47,"5019250, 5055602",0.00453286387466737,45.3286387466737,855
48,"5007921, 5040035",0.00445925353247867,44.5925353247867,855
49,"5015808, 5038134",0.00442806682826777,44.2806682826777,855
50,"5044097, 5055372",0.00430042845860053,43.0042845860053,855
51,"5043020, 5049683",0.00424462560949736,42.4462560949736,855
52,"5030780, 5036163",0.00422717292543639,42.2717292543639,855
53,"5044070, 5054040",0.0040411524662993,40.411524662993,855
54,"5026638, 5028545",0.00369554016538051,36.9554016538051,855
55,"5014001, 5055359",0.00358445416594696,35.8445416594696,855
