"Year","Level","Tournament_Name","Tournament_ID","Type","Round","Winner","Loser","Score","Match1","Match2","Match3","Match4","Match5","Match1W","Match1L","Match2W","Match2L","Match3W","Match3L","Match4W","Match4L","Match5W","Match5L","Winner_Match_Won","Loser_Match_Won","Win_points_total","Lose_points_total","level_weight","round_weight"
1992-01-01,"STAR4","Korea Open 1992",10073,"MS","Round 3","5026528","5048691","15-6 / 15-5","15-Jun"," 15-5","","","",15,6,15,5,NA,NA,NA,NA,NA,NA,2,0,30,11,6,4
1992-03-01,"STAR5","All England Open 1992",13659,"MS","Quarter final","5048592","5046716","15-1 / 15-11","15-Jan"," 15-11","","","",15,1,15,11,NA,NA,NA,NA,NA,NA,2,0,30,12,7,6
1992-03-01,"STAR5","All England Open 1992",13659,"MS","Round 3","5046716","5050277","7-15 / 15-5 / 15-2","Jul-15"," 15-5 "," 15-2","","",7,15,15,5,15,2,NA,NA,NA,NA,2,1,37,22,7,4
1992-03-01,"STAR5","All England Open 1992",13659,"MS","Round 2","5048592","5051712","15-11 / 15-9","15-Nov"," 15-9","","","",15,11,15,9,NA,NA,NA,NA,NA,NA,2,0,30,20,7,4
1992-03-01,"STAR5","All England Open 1992",13659,"MS","Round 2","5046716","5041196","8-15 / 15-8 / 15-8","Aug-15"," 15-8 "," 15-8","","",8,15,15,8,15,8,NA,NA,NA,NA,2,1,38,31,7,4
1992-03-01,"STAR5","All England Open 1992",13659,"MS","Round 2","5026528","5049513","7-15 / 15-4 / 15-13","Jul-15"," 15-4 "," 15-13","","",7,15,15,4,15,13,NA,NA,NA,NA,2,1,37,32,7,4
1992-03-01,"STAR5","All England Open 1992",13659,"MS","Round 2","5046076","5050208","15-5 / 15-12","15-May"," 15-12","","","",15,5,15,12,NA,NA,NA,NA,NA,NA,2,0,30,17,7,4
1992-03-01,"STAR5","All England Open 1992",13659,"MS","Round 2","5053759","5046519","15-11 / 9-15 / 15-7","15-Nov"," 9-15 "," 15-7","","",15,11,9,15,15,7,NA,NA,NA,NA,2,1,39,33,7,4
1992-03-01,"STAR5","All England Open 1992",13659,"MS","Round 1","5041196","5049711","6-15 / 15-9 / 15-9","Jun-15"," 15-9 "," 15-9","","",6,15,15,9,15,9,NA,NA,NA,NA,2,1,36,33,7,4
1992-03-01,"STAR5","All England Open 1992",13659,"MS","Round 1","5034124","5055169","15-8 / 15-8","15-Aug"," 15-8","","","",15,8,15,8,NA,NA,NA,NA,NA,NA,2,0,30,16,7,4
