"Rank","PlayerID","PageRank","ScaledScore","Iterations"
1,"5040752, 5047406",0.0290191654467017,290.191654467017,873
2,"5016116, 5033202",0.0269080893211439,269.080893211439,873
3,"5041016, 5051595",0.0261895285802216,261.895285802216,873
4,"5038134, 5045359",0.0227297842570051,227.297842570051,873
5,"5041519, 5055476",0.0226906385813493,226.906385813493,873
6,"5019250, 5051595",0.0209726177667221,209.726177667221,873
7,"5029761, 5034442",0.0208449135760104,208.449135760104,873
8,"5004093, 5013584",0.0201853819327661,201.853819327661,873
9,"5005599, 5043456",0.0183406561648078,183.406561648078,873
10,"5019063, 5037433",0.0177659571503756,177.659571503756,873
11,"5026742, 5055367",0.01741444218184,174.1444218184,873
12,"5002037, 5010627",0.0159110696118138,159.110696118138,873
13,"5038179, 5045870",0.0148181005174813,148.181005174813,873
14,"5020998, 5022387",0.0144556805014529,144.556805014529,873
15,"5042983, 5045349",0.0136925925561974,136.925925561974,873
16,"5042081, 5042097",0.0129176691700807,129.176691700807,873
17,"5011746, 5023879",0.0124055733105711,124.055733105711,873
18,"5044108, 5044112",0.0122446807610731,122.446807610731,873
19,"5043635, 5054279",0.0119803007906103,119.803007906103,873
20,"5007523, 5030311",0.0117404818436173,117.404818436173,873
21,"5036150, 5045116",0.0113861031192225,113.861031192225,873
22,"5027001, 5033489",0.0104518537629664,104.518537629664,873
23,"5020708, 5034696",0.00993199108501991,99.3199108501991,873
24,"5042447, 5054040",0.00992400916915,99.2400916915,873
25,"5010627, 5031400",0.00939903479003654,93.9903479003654,873
26,"5014493, 5050083",0.00897587067665211,89.7587067665211,873
27,"5010217, 5045983",0.00866943392283,86.6943392283,873
28,"5033202, 5048475",0.00861007650743864,86.1007650743864,873
29,"5033321, 5038311",0.00842886579820359,84.2886579820359,873
30,"5004093, 5043767",0.00817071823128188,81.7071823128188,873
31,"5048629, 5049765",0.00797476196326531,79.7476196326531,873
32,"5007932, 5039095",0.00787924206004007,78.7924206004007,873
33,"5041352, 5043417",0.00779419850657261,77.9419850657261,873
34,"5006605, 5016116",0.00778477741824827,77.8477741824827,873
35,"5010217, 5016952",0.00712015716907299,71.2015716907299,873
36,"5003128, 5004619",0.00705361044091213,70.5361044091213,873
37,"5005500, 5017900",0.00676115053472248,67.6115053472248,873
38,"5041668, 5055093",0.00645831190420599,64.5831190420599,873
39,"5044993, 5046308",0.00641155009300595,64.1155009300595,873
40,"5005599, 5043767",0.00623336466655667,62.3336466655667,873
41,"5029319, 5045496",0.00622766910716847,62.2766910716847,873
42,"5001745, 5034687",0.00621288366852441,62.1288366852441,873
43,"5007921, 5040035",0.00585885505176362,58.5885505176362,873
44,"5019250, 5055602",0.00516191138648727,51.6191138648727,873
45,"5039298, 5055602",0.00509158002355635,50.9158002355635,873
46,"5021791, 5055017",0.00503267677387639,50.3267677387639,873
47,"5044097, 5055372",0.00492997741003144,49.2997741003144,873
48,"5005176, 5045349",0.00485514160101622,48.5514160101622,873
49,"5044294, 5044297",0.00465483689443566,46.5483689443566,873
50,"5016793, 5047406",0.00456569238372812,45.6569238372812,873
51,"5026638, 5028545",0.00437214245855261,43.7214245855261,873
52,"5029744, 5030449",0.00433538727955568,43.3538727955568,873
53,"5009208, 5036204",0.00431317353096191,43.1317353096191,873
54,"5044070, 5054040",0.00425324862419943,42.5324862419943,873
55,"5017255, 5053721",0.00423490417395112,42.3490417395112,873
56,"5030780, 5036163",0.00408772538552205,40.8772538552205,873
57,"5043784, 5044179",0.00385513611803279,38.5513611803279,873
58,"5001972, 5011176",0.00379862340820777,37.9862340820777,873
59,"5011443, 5036349",0.0037313022481392,37.313022481392,873
60,"5015808, 5038134",0.00368654506180736,36.8654506180736,873
61,"5050441, 5050470",0.00362649396227665,36.2649396227665,873
62,"5043020, 5049683",0.00351509192057617,35.1509192057617,873
63,"5014001, 5055359",0.0035071079758188,35.071079758188,873
64,"5011746, 5050909",0.00349615901501486,34.9615901501486,873
65,"5003238, 5028974",0.00339819758848725,33.9819758848725,873
66,"5043684, 5044144",0.00337468133356403,33.7468133356403,873
67,"5050083, 5055017",0.00337296565231563,33.7296565231563,873
68,"5027001, 5043137",0.00326254569551918,32.6254569551918,873
69,"5017917, 5026128",0.00318804287579369,31.8804287579369,873
70,"5054749, 5055602",0.00317795236856505,31.7795236856505,873
