"Year","Level","Tournament_Name","Tournament_ID","Type","Round","Winner","Loser","Score","Match1","Match2","Match3","Match4","Match5","Match1W","Match1L","Match2W","Match2L","Match3W","Match3L","Match4W","Match4L","Match5W","Match5L","Winner_Match_Won","Loser_Match_Won","Win_points_total","Lose_points_total","level_weight","round_weight"
"Jun-93","WC","World Championships 1993",10827,"XD","Quarter final","5047106, 5049828","5046301, 5052046","15-10 / 15-6","15-Oct"," 15-6","","","",15,10,15,6,,,,,,,2,0,30,16,10,6
"Jun-93","WC","World Championships 1993",10827,"XD","Quarter final","5014001, 5055359","5046994, 5049289","8-15 / 15-7 / 15-6","Aug-15"," 15-7 "," 15-6","","",8,15,15,7,15,6,,,,,2,1,38,28,10,6
"Jun-93","WC","World Championships 1993",10827,"XD","Round 4","5045944, 5055570","5046164, 5046529","15-12 / 11-15 / 15-13","15-Dec"," 11-15 "," 15-13","","",15,12,11,15,15,13,,,,,2,1,41,40,10,4
"Jun-93","WC","World Championships 1993",10827,"XD","Round 4","5047106, 5049828","5036319, 5047221","15-8 / 15-12","15-Aug"," 15-12","","","",15,8,15,12,,,,,,,2,0,30,20,10,4
"Jun-93","WC","World Championships 1993",10827,"XD","Round 4","5046301, 5052046","5045377, 5047055","15-9 / 15-6","15-Sep"," 15-6","","","",15,9,15,6,,,,,,,2,0,30,15,10,4
"Jun-93","WC","World Championships 1993",10827,"XD","Round 3","5046994, 5049289","5045110, 5046616","15-5 / 15-11","15-May"," 15-11","","","",15,5,15,11,,,,,,,2,0,30,16,10,4
"Jun-93","WC","World Championships 1993",10827,"XD","Round 2","5045377, 5047055","5045219, 5050440","7-15 / 15-5 / 17-14","Jul-15"," 15-5 "," 17-14","","",7,15,15,5,17,14,,,,,2,1,39,34,10,4
"Jul-93","STAR5","Malaysia Open 1993",13984,"XD","Final","5042983, 5050334","5047873, 5054766","18-13 / 15-13","18-13 "," 15-13","","","",18,13,15,13,,,,,,,2,0,33,26,7,10
"Jul-93","STAR5","Malaysia Open 1993",13984,"XD","Semi final","5042983, 5050334","5045944, 5055570","5-15 / 15-6 / 15-3","May-15"," 15-6 "," 15-3","","",5,15,15,6,15,3,,,,,2,1,35,24,7,8
"Jul-93","STAR5","Malaysia Open 1993",13984,"XD","Quarter final","5047873, 5054766","5030767, 5047345","15-5 / 15-12","15-May"," 15-12","","","",15,5,15,12,,,,,,,2,0,30,17,7,6
"Jul-93","STAR5","Indonesia Open 1993",11220,"XD","Quarter final","5014001, 5055411","5045944, 5055570","15-11 / 15-13","15-Nov"," 15-13","","","",15,11,15,13,,,,,,,2,0,30,24,7,6
"Jul-93","STAR5","Indonesia Open 1993",11220,"XD","Round 2","5042983, 5050334","5039298, 5046136","15-5 / 15-5","15-May"," 15-5","","","",15,5,15,5,,,,,,,2,0,30,10,7,4
"Jul-93","STAR5","Indonesia Open 1993",11220,"XD","Round 2","5047873, 5054766","5046994, 5049289","15-9 / 15-10","15-Sep"," 15-10","","","",15,9,15,10,,,,,,,2,0,30,19,7,4
"Jul-93","STAR5","Indonesia Open 1993",11220,"XD","Round 1","5046164, 5046529","5030767, 5047345","18-14 / 15-10","18-14 "," 15-10","","","",18,14,15,10,,,,,,,2,0,33,24,7,4
"Sep-93","WCU","World Cup 1993",10198,"XD","Semi final","5014001, 5055359","5046994, 5049289","17-14 / 7-15 / 15-9","17-14 "," 7-15 "," 15-9","","",17,14,7,15,15,9,,,,,2,1,39,38,9,8
