number,player,pagerank
1,AN Se Young,1972.750807
2,CHEN Yu Fei,1895.735684
3,Akane YAMAGUCHI,1911.728231
4,Tomoka MIYAZAKI,1589.484022
5,WANG Zhi Yi,1878.812836
6,Pornpawee CHOCHUWONG,1636.811116
7,HAN Yue,1716.425071
8,Gregoria Mariska TUNJUNG,1634.398334
