number,player,pagerank
1,AN Se Young,1.392755221
2,CHEN Yu Fei,1.324686289
3,Akane YAMAGUCHI,1.29209356
4,Tomoka MIYAZAKI,1.044153897
5,WANG Zhi Yi,1.194032618
6,Pornpawee CHOCHUWONG,0.965034639
7,HAN Yue,1.047246454
8,Gregoria Mariska TUNJUNG,1.009582435
