number,player,pagerank
1,AN Se Young,320.630715
2,CHEN Yu Fei,339.8049132
3,Akane YAMAGUCHI,376.9451257
4,Tomoka MIYAZAKI,14.08555295
5,WANG Zhi Yi,123.9572769
6,Pornpawee CHOCHUWONG,60.04507176
7,HAN Yue,68.46987392
8,Gregoria Mariska TUNJUNG,76.05615736
